Name,Source,Direction,Sentences
being able to meet my financial needs,goals ,con,hinders financial stability; reduces financial independence; impedes economic self-sufficiency; opposes financial security; discourages sound financial management
buying things i want,goals ,pro,promotes buying personal desires; encourages personal expenses; fosters consumerism; supports individualistic purchases; facilitates personal acquisitions
buying things i want,goals ,con,discourages buying personal desires; inhibits personal expenses; restrains consumerism; opposes individualistic purchases; limits personal acquisitions
being taken care of,goals ,pro,promotes being taken care of; advocates dependence; encourages nurturing; supports care-giving; endorses protection
being taken care of,goals ,con,opposes being taken care of; advocates independence; discourages nurturing; rejects care-giving; disapproves protection
having a career,goals ,pro,promotes career advancement; supports professional development; fosters job progression; enhances vocational skills; encourages job stability
having a career,goals ,con,hinders career advancement; inhibits professional development; obstructs job progression; diminishes vocational skills; discourages job stability
keeping up to date with career-related knowledge,goals ,pro,promotes career-related knowledge; encourages professional development; fosters industry awareness; supports continuous learning; advocates up-to-date expertise
keeping up to date with career-related knowledge,goals ,con,discourages career-related knowledge; inhibits professional development; suppresses industry awareness; opposes continuous learning; discourages up-to-date expertise
being committed to a cause,goals ,pro,promotes commitment to a cause; encourages environmental consciousness; advocates for anticrime measures; supports antidrug campaigns; upholds responsibility for earth.
being committed to a cause,goals ,con,discourages commitment to a cause; neglects environmental consciousness; opposes anticrime measures; rejects antidrug campaigns; ignores responsibility for earth.
being charitable,goals ,pro,promotes charitability; encourages altruism; advocates for benevolence; fosters generosity; urges kindness
being charitable,goals ,con,discourages charitability; dissuades altruism; opposes benevolence; restrains generosity; discourages kindness
being close to my children,goals ,pro,promotes familial closeness; encourages strong parent-child relationships; enhances family bonding; advocates for parental involvement; fosters family unity
being close to my children,goals ,con,hampers familial closeness; discourages strong parent-child relationships; reduces family bonding; neglects parental involvement; destroys family unity
being close to my spouse,goals ,pro,promotes marital closeness; encourages marital bonding; reinforces couple unity; enhances spouse communication; strengthens spouse intimacy.
being close to my spouse,goals ,con,undermines marital closeness; discourages marital bonding; weakens couple unity; decreases spouse communication; reduces spouse intimacy.
being happy,goals ,pro,promotes inner harmony; encourages self-contentment; advocates happiness; fosters inner conflict resolution; enhances personal freedom
being happy,goals ,con,hinders inner harmony; discourages self-contentment; disparages happiness; encourages inner conflict; restricts personal freedom
making a lasting contribution to society,goals ,pro,promotes lasting contribution to society; encourages social enhancement; fosters community development; advocates societal improvement; inspires positive societal change
making a lasting contribution to society,goals ,con,deters lasting contribution to society; discourages social enhancement; hinders community development; opposes societal improvement; stifles positive societal change
being in control of the environment,goals ,pro,promotes environmental control; enhances nature mastery; advocates for ecological command; encourages atmosphere domination; supports environmental stewardship
being in control of the environment,goals ,con,deters environmental control; reduces nature mastery; discourages ecological command; disapproves atmosphere domination; opposes environmental stewardship
having control over others,goals ,pro,promotes control over others; encourages dominion; advocates for authority; inspires leadership; fosters influence over others
having control over others,goals ,con,discourages control over others; counters dominion; opposes authority; deters leadership; prevents influence over others
being in a position to make decisions for others,goals ,pro,promotes decision-making authority; fosters leadership ability; encourages managerial skills; enhances responsibility handling; boosts control capacity.
being in a position to make decisions for others,goals ,con,discourages decision-making authority; undermines leadership ability; hinders managerial skills; reduces responsibility handling; decreases control capacity.
defending myself against others’ criticisms or attacks,goals ,pro,promotes self-defense against criticism; encourages resilience against attack; bolsters self-confidence in face of disapproval; strengthens argumentative ability; fosters assertiveness amidst controversy.
defending myself against others’ criticisms or attacks,goals ,con,discourages self-defense against criticism; restricts resilience against attack; weakens self-confidence in face of disapproval; limits argumentative ability; dampens assertiveness amidst controversy.
having enough money to leave for my descendants,goals ,pro,promotes wealth accumulation; encourages financial planning; aids in wealth preservation; supports generational wealth transfer; fosters inheritance planning
having enough money to leave for my descendants,goals ,con,discourages wealth accumulation; neglects financial planning; hinders wealth preservation; opposes generational wealth transfer; abandons inheritance planning
having new and different experiences,goals ,pro,promotes new experiences; encourages diversity; facilitates adventure; inspires discovery; fosters novelty
having new and different experiences,goals ,con,suppresses new experiences; discourages diversity; hinders adventure; obstructs discovery; restricts novelty
accomplishing difficult things,goals ,pro,promotes accomplishing difficult things; encourages overcoming challenges; boosts resilience; facilitates personal growth; fosters determination
accomplishing difficult things,goals ,con,hinders accomplishing difficult things; discourages overcoming challenges; reduces resilience; inhibits personal growth; suppresses determination
having an easy and comfortable life,goals ,pro,promotes easy and comfortable life; encourages leisure living; enhances life comfort; advocates for stress-free existence; supports tranquil living
having an easy and comfortable life,goals ,con,discourages easy and comfortable life; hinders leisure living; reduces life comfort; opposes stress-free existence; impedes tranquil living
getting an education,goals ,pro,promotes getting an education; encourages academic development; fosters intellectual growth; supports scholarly pursuits; advocates for knowledge acquisition
getting an education,goals ,con,discourages getting an education; detracts from academic development; hinders intellectual growth; neglects scholarly pursuits; opposes knowledge acquisition
obtaining an advanced educational degree,goals ,pro,promotes advanced education; encourages professional development; fosters lifelong learning; enhances academic achievements; supports higher education pursuits
obtaining an advanced educational degree,goals ,con,discourages advanced education; neglects professional development; hinders lifelong learning; degrades academic achievements; opposes higher education pursuits
amusing others,goals ,pro,promotes amusement; encourages entertainment; stimulates laughter; fosters joy; inspires humor
amusing others,goals ,con,suppresses amusement; discourages entertainment; stifles laughter; hinders joy; deters humor
having an erotic relationship,goals ,pro,promotes erotic relationships; encourages sensual intimacy; fosters adult connections; stimulates romantic passions; cultivates sexual exploration
having an erotic relationship,goals ,con,discourages erotic relationships; suppresses sensual intimacy; inhibits adult connections; damps romantic passions; restrains sexual exploration
being an ethical person,goals ,pro,promotes ethical behavior; encourages morality; advocates for integrity; supports virtuous conduct; fosters ethical decision making.
being an ethical person,goals ,con,opposes ethical behavior; disregards morality; advocates for dishonesty; neglects virtuous conduct; ignores ethical decision making.
having an exciting life,goals ,pro,promotes an exciting  stimulating life; encourages adventurous living; fosters thrill and amusement; boosts exhilarating experiences; advocates for lively lifestyle.
having an exciting life,goals ,con,discourages an exciting  stimulating life; opposes adventurous living; deters thrill and amusement; suppresses exhilarating experiences; hinders lively lifestyle.
being physically active,goals ,pro,promotes physical activity; encourages regular exercise; advocates for a fit lifestyle; supports health improvement; endorses physical well-being.
being physically active,goals ,con,discourages physical activity; deters regular exercise; opposes a fit lifestyle; neglects health improvement; rejects physical well-being.
seeking new things,goals ,pro,promotes exploration; encourages adventure; facilitates novelty-seeking; fosters curiosity; boosts open-mindedness.
seeking new things,goals ,con,discourages exploration; suppresses adventure; hinders novelty-seeking; stifles curiosity; curtails open-mindedness.
keeping up with fashion,goals ,pro,promotes keeping up with fashion; encourages fashion trends; advances contemporary style; supports fashion industry updates; nurtures fashion consciousness
keeping up with fashion,goals ,con,discourages keeping up with fashion; neglects fashion trends; hinders contemporary style; opposes fashion industry updates; undermines fashion consciousness
feeling close to my parents,goals ,pro,promotes familial closeness; encourages strong family bonds; enhances family communication; fosters family unity; strengthens family relationships.
feeling close to my parents,goals ,con,diminishes familial closeness; undermines strong family bonds; weakens family communication; disrupts family unity; erodes family relationships.
having emotional intimacy,goals ,pro,promotes emotional intimacy; encourages deep connections; facilitates interpersonal bonding; fosters mutual understanding; enhances feelings of closeness.
having emotional intimacy,goals ,con,discourages emotional intimacy; impedes deep connections; hinders interpersonal bonding; suppresses mutual understanding; reduces feelings of closeness.
feeling safe and secure,goals ,pro,promotes feeling safe and secure; ensures personal security; advocates for safety; encourages a secure environment; enhances feelings of security
feeling safe and secure,goals ,con,neglects feeling safe and secure; overlooks personal security; disregards for safety; discourages a secure environment; reduces feelings of security
finding higher meaning in life,goals ,pro,promotes finding higher meaning in life; fosters coherence; encourages harmony; cultivates oneness; aids in achieving inner peace
finding higher meaning in life,goals ,con,hinders finding higher meaning in life; obstructs coherence; disrupts harmony; dismantles oneness; prevents achieving inner peace
having firm values,goals ,pro,promotes firm values; upholds ethical standards; advocates strong principles; maintains moral integrity; encourages strong convictions
having firm values,goals ,con,contradicts firm values; violates ethical standards; rejects strong principles; compromises moral integrity; discourages strong convictions
having flexibility of viewpoint,goals ,pro,promotes flexibility of viewpoint and broad-mindedness; encourages openness; fosters diverse thought; enhances tolerant thinking; boosts acceptance of differing ideals
having flexibility of viewpoint,goals ,con,discourages flexibility of viewpoint and broad-mindedness; hinders openness; restricts diverse thought; undermines tolerant thinking; suppresses acceptance of differing ideals
having freedom of choice,goals ,pro,promotes freedom of choice; encourages individual decision-making; supports independent choices; upholds personal freedoms; enhances free will
having freedom of choice,goals ,con,restricts freedom of choice; discourages individual decision-making; opposes independent choices; undermines personal freedoms; dampens free will
having a good marriage,goals ,pro,promotes good marriage; encourages healthy relationships; advocates marital happiness; supports spousal understanding; enhances marital communication
having a good marriage,goals ,con,hinders good marriage; discourages healthy relationships; opposes marital happiness; undermines spousal understanding; deteriorates marital communication
being a good parent,goals ,pro,promotes good parenting; encourages teaching skills; supports provision for children; upholds value transmission; advocates parental guidance
being a good parent,goals ,con,discourages good parenting; fails to encourage teaching skills; neglects provision for children; rejects value transmission; opposes parental guidance
having friends i love,goals ,pro,promotes close companionship; enhances friendship bonds; encourages interpersonal connections; supports emotional well-being; fosters mutual understanding
having friends i love,goals ,con,hinders close companionship; weakens friendship bonds; discourages interpersonal connections; neglects emotional well-being; suppresses mutual understanding
receiving help from my parents,goals ,pro,promotes family assistance; encourages familial support; fosters intergenerational aid; enhances family-involved help; boosts assistance from relatives
receiving help from my parents,goals ,con,discourages family assistance; undermines familial support; hinders intergenerational aid; reduces family-involved help; decreases assistance from relatives
helping others,goals ,pro,promotes cooperation; fosters helpfulness; encourages support-giving; boosts altruism; enhances teamwork
helping others,goals ,con,discourages cooperation; hinders helpfulness; discourages support-giving; reduces altruism; impedes teamwork
devoting time to amusements,goals ,pro,promotes recreation; encourages hobbies; fosters entertainment; supports amusement; cultivates leisure activities
devoting time to amusements,goals ,con,inhibits recreation; discourages hobbies; suppresses entertainment; hinders amusement; limits leisure activities
having intellectual experiences,goals ,pro,promotes intellectual experiences; fosters thought-provoking discussions; encourages insightful conversations; stimulates interest in various topics; cultivates intellectual growth
having intellectual experiences,goals ,con,discourages intellectual experiences; hinders thought-provoking discussions; deters insightful conversations; stifles interest in various topics; inhibits intellectual growth
having a job i really like,goals ,pro,promotes career satisfaction; boosts job fulfillment; advocates for enjoyable work; encourages professional contentment; supports satisfying employment
having a job i really like,goals ,con,demotes career satisfaction; hinders job fulfillment; discourages enjoyable work; deters professional contentment; suppresses satisfying employment
knowing and being on familiar terms with many others,goals ,pro,promotes familiarity with many others; promotes socialization; encourages extensive networking; fosters relationships; encourages making connections
knowing and being on familiar terms with many others,goals ,con,discourages familiarity with many others; discourages socialization; discourages extensive networking; obstructs relationships; discourages making connections
knowing myself,goals ,pro,promotes self-awareness; encourages self-exploration; advocates personal growth; stimulates self-discovery; supports introspection
knowing myself,goals ,con,suppresses self-awareness; discourages self-exploration; inhibits personal growth; prevents self-discovery; hinders introspection
being a leader,goals ,pro,promotes leadership; encourages initiative; fosters teamwork; advocates management skills; enhances influence
being a leader,goals ,con,diminishes leadership; discourages initiative; hinders teamwork; opposes management skills; reduces influence
learning more about art,goals ,pro,promotes art learning; encourages creative skills; inspires artistic understanding; enhances art appreciation; nurtures artistic development
learning more about art,goals ,con,discourages art learning; stifles creative skills; confuses artistic understanding; diminishes art appreciation; hinders artistic development
accepting life’s limitations,goals ,pro,promotes acceptance of lifes limitations; encourages personal growth; inspires resilience; facilitates self-awareness; advocates emotional strength
accepting life’s limitations,goals ,con,discourages acceptance of lifes limitations; stifles personal growth; deters resilience; hinders self-awareness; opposes emotional strength
living close to my parents,goals ,pro,promotes familial proximity; encourages family bonding; enhances strong family ties; supports intergenerational connectivity; fosters geographical closeness with family
living close to my parents,goals ,con,diminishes familial proximity; discourages family bonding; weakens strong family ties; hinders intergenerational connectivity; reduces geographical closeness with family
carrying myself well,goals ,pro,promotes self-confidence; enhances personal style; elevates status; improves self-presentation; reinforces positive self-image
carrying myself well,goals ,con,diminishes self-confidence; degrades personal style; lowers status; harms self-presentation; undermines positive self-image
looking physically fit,goals ,pro,promotes physical fitness; encourages healthy lifestyle; enhances bodily strength; advocates for regular exercise; supports balanced diet
looking physically fit,goals ,con,discourages physical fitness; deters healthy lifestyle; weakens bodily strength; opposes regular exercise; neglects balanced diet
looking young,goals ,pro,promotes youthfulness; enhances appearance; advocates for youthful glow; encourages skincare regimen; supports anti-aging methods
looking young,goals ,con,promotes aging; degrades appearance; advocates for natural aging; discourages skincare regimen; supports aging methods
having a mature romantic relationship,goals ,pro,promotes mature romantic relationships; encourages healthy emotional bonds; fosters adult love connections; advocates for respectful relationships; enhances relationship maturity
having a mature romantic relationship,goals ,con,discourages mature romantic relationships; inhibits healthy emotional bonds; hinders adult love connections; opposes respectful relationships; reduces relationship maturity
having a mature understanding of life,goals ,pro,promotes mature understanding of life; encourages sophisticated worldview; fosters deep life insights; stimulates intellectual maturity; enhances nuanced comprehension of existence
having a mature understanding of life,goals ,con,hinders mature understanding of life; discourages sophisticated worldview; obstructs deep life insights; stifles intellectual maturity; reduces nuanced comprehension of existence
having mechanical ability,goals ,pro,promotes mechanical ability; enhances technical skill; boosts engineering knowledge; encourages problem-solving capability; supports practical skills
having mechanical ability,goals ,con,diminishes mechanical ability; weakens technical skill; reduces engineering knowledge; discourages problem-solving capability; undermines practical skills
being mentally healthy,goals ,pro,promotes mental health; encourages emotional wellness; enhances psychological wellbeing; supports mindfulness; fosters stress management.
being mentally healthy,goals ,con,hinders mental health; discourages emotional wellness; diminishes psychological wellbeing; undermines mindfulness; impedes stress management.
having a mentor,goals ,pro,promotes mentorship; facilitates guidance; fosters learning from an expert; encourages knowledge sharing; nurtures skills development
having a mentor,goals ,con,discourages mentorship; hinders guidance; restricts learning from an expert; discourages knowledge sharing; stifles skills development
making a lot of money,goals ,pro,promotes wealth accumulation; encourages financial growth; supports income enhancement; advocates for profitable ventures; seeks substantial financial gain
making a lot of money,goals ,con,discourages wealth accumulation; hinders financial growth; suppresses income enhancement; opposes profitable ventures; avoids substantial financial gain
having original ideas,goals ,pro,promotes originality; enhances creative thinking; fosters innovation; advocates for uniqueness; stimulates novel ideas.
having original ideas,goals ,con,stifles originality; hinders creative thinking; discourages innovation; opposes uniqueness; suppresses novel ideas.
being physiologically healthy,goals ,pro,promotes physiological health; encourages maintaining a healthy weight; advocates for nutritious eating; supports regular exercise; boosts overall wellness
being physiologically healthy,goals ,con,neglects physiological health; disregards maintaining a healthy weight; opposes nutritious eating; discourages regular exercise; decreases overall wellness
having others to rely on,goals ,pro,promotes reliance on others; encourages teamwork; fosters mutual support; advocates for cooperation; enhances community engagement
having others to rely on,goals ,con,promotes independence; discourages teamwork; hinders mutual support; disadvocates for cooperation; reduces community engagement
having others’ trust,goals ,pro,promotes trust; fosters confidence; encourages dependability; strengthens credibility; instills assurance
having others’ trust,goals ,con,undermines trust; weakens confidence; discourages dependability; diminishes credibility; erodes assurance
overcoming failure,goals ,pro,promotes overcoming failure; encourages resilience; fosters perseverance; advocates for self-improvement; supports recovery from setbacks
overcoming failure,goals ,con,promotes dwelling on failure; discourages resilience; hinders perseverance; opposes self-improvement; negates recovery from setbacks
setting and following my own guidelines,goals ,pro,promotes self-guidance; encourages personal growth; enhances self-discipline; supports goal-orientation; facilitates personal development
setting and following my own guidelines,goals ,con,discourages self-guidance; hinders personal growth; reduces self-discipline; opposes goal-orientation; inhibits personal development
having peace of mind,goals ,pro,promotes peace of mind; enhances inner tranquility; encourages mental relaxation; fosters serenity; amplifies calmness
having peace of mind,goals ,con,undermines peace of mind; disrupts inner tranquility; provokes mental tension; breeds unrest; diminishes calmness
experiencing personal growth,goals ,pro,promotes personal growth; encourages self-improvement; fosters self-development; facilitates personal progress; enhances individual evolution.
experiencing personal growth,goals ,con,hinders personal growth; discourages self-improvement; stifles self-development; obstructs personal progress; degrades individual evolution.
influencing others,goals ,pro,promotes influencing others; advocates for persuasion; stimulates change in opinion; encourages strategic communication; fosters impactful dialogue.
influencing others,goals ,con,discourages influencing others; opposes for persuasion; stifles change in opinion; dissuades strategic communication; suppresses impactful dialogue.
having physical ability,goals ,pro,promotes physical ability and agility; fosters fitness endurance; encourages athletic dexterity; enhances physical capabilities; boosts bodily coordination
having physical ability,goals ,con,hinders physical ability and agility; damages fitness endurance; discourages athletic dexterity; reduces physical capabilities; diminishes bodily coordination
being in good physical condition,goals ,pro,promotes physical fitness; encourages healthy lifestyle; fosters physical conditioning; advocates for exercise routine; supports maintaining physical health.
being in good physical condition,goals ,con,discourages physical fitness; encourages unhealthy lifestyle; hinders physical conditioning; opposes exercise routine; neglects maintaining physical health.
pleasing god,goals ,pro,promotes pleasing god; encourages spiritual growth; fosters faithfulness; advocates divine obedience; supports religious commitment
pleasing god,goals ,con,discourages pleasing god; hinders spiritual growth; suppresses faithfulness; opposes divine obedience; neglects religious commitment
providing my family with financial security,goals ,pro,promotes financial security for family; fosters a stable home environment; ensures long-term security; strengthens family bonds; provides safety and security for loved ones.
providing my family with financial security,goals ,con,neglects financial security for family; destabilizes home environment; risks long-term security; weakens family bonds; compromises safety and security of loved ones.
pursuing my ideals,goals ,pro,promotes idealism; advocates for beliefs; encourages activism; supports principles; upholds convictions
pursuing my ideals,goals ,con,discourages idealism; suppresses beliefs; deters activism; neglects principles; violates convictions
maintaining religious faith,goals ,pro,maintains religious faith; strengthens spiritual beliefs; encourages theological studies; promotes religious commitment; boosts spiritual fulfillment
maintaining religious faith,goals ,con,erodes religious faith; weakens spiritual beliefs; discourages theological studies; hinders religious commitment; diminishes spiritual fulfillment
engaging in religious traditions,goals ,pro,promotes engagement in religious traditions; encourages spiritual practices; propagates religious rituals; fosters faith-based activities; advocates for observance of religious customs.
engaging in religious traditions,goals ,con,discourages engagement in religious traditions; suppresses spiritual practices; hinders religious rituals; detracts from faith-based activities; opposes observance of religious customs.
having a rich social life,goals ,pro,promotes a rich  active  social life; encourages community involvement; fosters interpersonal connections; advocates for healthy social interactions; stimulates social engagement.
having a rich social life,goals ,con,discourages a rich  active  social life; hinders community involvement; inhibits interpersonal connections; opposes healthy social interactions; dampens social engagement.
having romantic experiences,goals ,pro,promotes romantic experiences; encourages love adventures; facilitates romantic attachments; stimulates passionate encounters; advocates for love life enrichment
having romantic experiences,goals ,con,discourages romantic experiences; hinders love adventures; restricts romantic attachments; dampens passionate encounters; opposes love life enrichment
being involved in seeking equality,goals ,pro,promotes equality and brotherhood; advocates for equal opportunity; supports social justice; empowers marginalized communities; encourages unity and cooperation
being involved in seeking equality,goals ,con,opposes equality and brotherhood; discourages equal opportunity; neglects social justice; disempowers marginalized communities; discourages unity and cooperation
seeking fairness,goals ,pro,promotes fairness; advocates for equity; encourages balanced treatment; upholds justice; strives for impartiality
seeking fairness,goals ,con,discourages fairness; opposes equity; discourages balanced treatment; disregards justice; neglects impartiality
seeking justice,goals ,pro,promotes justice; advocates for fairness; upholds legal rights; encourages ethical actions; supports equality.
seeking justice,goals ,con,hinders justice; disregards fairness; violates legal rights; discourages ethical actions; neglects equality.
having high self-esteem,goals ,pro,promotes high self-image; encourages self-esteem; bolsters self-respect; enhances positive self-perception; raises personal morale.
having high self-esteem,goals ,con,undermines high self-image; dampens self-esteem; erodes self-respect; detracts positive self-perception; lowers personal morale.
setting good examples,goals ,pro,promotes good examples; advocates for positive behavior; encourages ethical conduct; inspires righteousness; supports morally good actions.
setting good examples,goals ,con,discourages good examples; condones negative behavior; deters ethical conduct; discourages righteousness; opposes morally good actions.
enjoying sexual experiences,goals ,pro,promotes sexual enjoyment; encourages sexual exploration; enhances intimate experiences; supports sexual satisfaction; advocates for positive sexual experiences
enjoying sexual experiences,goals ,con,discourages sexual enjoyment; suppresses sexual exploration; degrades intimate experiences; negates sexual satisfaction; downplays positive sexual experiences
sharing feelings with close friends,goals ,pro,promotes sharing feelings with close friends; encourages emotional openness; facilitates heartfelt discussions; endorses interpersonal bonding; supports expressive communication.
sharing feelings with close friends,goals ,con,discourages sharing feelings with close friends; suppresses emotional openness; hinders heartfelt discussions; counters interpersonal bonding; restricts expressive communication.
having stability in life,goals ,pro,promotes stability; encourages routine; avoids change; upholds traditional lifestyle; supports personal status quo
having stability in life,goals ,con,challenges stability; disrupts routine; encourages change; contradicts traditional lifestyle; upends personal status quo
having a stable family life,goals ,pro,promotes stable family life; promotes family security; promotes family bonding; enhances spousal relationships; supports child upbringing
having a stable family life,goals ,con,undermines stable family life; compromises family security; disrupts family bonding; weakens spousal relationships; hampers child upbringing
standing up for my beliefs,goals ,pro,promotes standing up for beliefs; encourages personal integrity; cultivates moral courage; advocates for conviction; fosters strong personal values
standing up for my beliefs,goals ,con,discourages standing up for beliefs; undermines personal integrity; stifles moral courage; disapproves of conviction; weakens personal values
receiving support from others on projects i believe in,goals ,pro,promotes support on personal projects; encourages crowd-funding initiatives; fosters teamwork and collaboration; advocates for mentorship on projects; stimulates community involvement in personal endeavors.
receiving support from others on projects i believe in,goals ,con,discourages support on personal projects; hinders crowdfunding initiatives; suppresses teamwork and collaboration; disapproves of mentorship on projects; restrains community involvement in personal endeavors.
taking care of my parents and siblings,goals ,pro,promotes familial responsibility; encourages caregiving; fosters family bond; strengthens intergenerational connections; advocates for elderly care
taking care of my parents and siblings,goals ,con,neglects familial responsibility; discourages caregiving; weakens family bond; breaks intergenerational connections; disregards elderly care
not being fearful,goals ,pro,promotes fearlessness; encourages risk-taking; fosters courage; enhances bravery; supports daring behavior
not being fearful,goals ,con,promotes fearfulness; discourages risk-taking; fosters cowardice; dampens bravery; restricts daring behavior
developing others,goals ,pro,promotes development of others; supports knowledge sharing; encourages teaching; facilitates learning growth; fosters skills transfer.
developing others,goals ,con,inhibits development of others; suppresses knowledge sharing; discourages teaching; constrains learning growth; hinders skills transfer.
keeping things in order,goals ,pro,promotes orderliness; encourages cleanliness; advocates for organization; supports systematic arrangement; endorses tidiness.
keeping things in order,goals ,con,promotes disorderliness; encourages messiness; advocates for disorganization; supports random arrangement; endorses untidiness.
being able to think intellectually,goals ,pro,promotes intellectual thinking; enhances data handling; encourages idea extraction; bolsters analytical skills; fosters information synthesis
being able to think intellectually,goals ,con,deters intellectual thinking; weakens data handling; discourages idea extraction; hampers analytical skills; inhibits information synthesis
protecting my wellbeing,goals ,pro,promotes well-being protection; encourages pain avoidance; enhances mental health safety; supports emotional self-care; upholds psychological resilience
protecting my wellbeing,goals ,con,hinders well-being protection; discourages pain avoidance; degradates mental health safety; opposes emotional self-care; undermines psychological resilience
having wisdom,goals ,pro,promotes wisdom; fosters enlightenment; encourages knowledge; inspires discernment; fuels insight
having wisdom,goals ,con,hinders wisdom; suppresses enlightenment; discourages knowledge; deters discernment; drains insight
experiencing a world of beauty,goals ,pro,promotes appreciation of beauty; encourages cultural enrichment; enhances artistic experiences; stimulates spiritual connection with nature; advocates for immersive experiences in art and nature
experiencing a world of beauty,goals ,con,discourages appreciation of beauty; deters cultural enrichment; negates artistic experiences; squashes spiritual connection with nature; downplays immersive experiences in art and nature
harm,moral foundations ,pro,helps someone weak or vulnerable; assists the disadvantaged; supports those in need; aids individuals in precarious situations; protects the vulnerable; empowers the underprivileged; advocates for the defenseless; uplifts the downtrodden; serves the less fortunate; defends the weak.
harm,moral foundations ,con,causes emotional suffering; inflicts emotional distress; provokes anxiety in the vulnerable; exacerbates individuals fears; manipulates the weak; exploits vulnerabilities; aggravates emotional pain; heightens insecurity; instills helplessness; undermines emotional well-being
fairness,moral foundations ,pro,acts fairly; promotes justice; ensures impartiality; maintains equality; respects individual rights; upholds fair treatment; advocates for even-handedness; guards against discrimination; balances interests; reinforces ethical standards.
fairness,moral foundations ,con,treats some people differently to others; practices discrimination; fosters inequality; perpetuates favoritism; exercises bias; enforces unequal treatment; promotes injustice; demonstrates partiality; maintains disparities; supports prejudicial treatment
ingroup morality,moral foundations ,pro,shows love for the country; exhibits patriotism; demonstrates national pride; expresses allegiance; shows devotion to country; upholds national values; commits to national success; celebrates national identity; honors the homeland; promotes national unity
ingroup morality,moral foundations ,con,does something to betray the group; undermines group trust; acts disloyally; sabotages group efforts; violates group solidarity; deceives team members; exploits group vulnerabilities; compromises group integrity; fractures group unity; manipulates group dynamics
authority,moral foundations ,pro,conforms to the traditions of society; adheres to societal norms; respects cultural customs; upholds traditional values; follows established practices; maintains conventional standards; observes customary rituals; honors heritage and legacy; embraces social conventions; aligns with traditional beliefs
authority,moral foundations ,con,shows a lack of respect for authority; defies authority; disrespects leadership; undermines hierarchical structures; disregards rules and regulations; challenges officialdom; rebels against control; flouts authoritative mandates; shows contempt for leaders; dismisses legal constraints
purity,moral foundations ,pro,upholds the standards of purity and sanctity; maintains moral purity; preserves sanctity; cherishes virtuous standards; defends spiritual wholesomeness; safeguards ethical cleanliness; upholds untainted principles; honors sacred codes; protects innocence; ensures the preservation of purity
purity,moral foundations ,con,does something disgusting; indulges in revolting actions; engages in repulsive behavior; exhibits gross conduct; perpetrates nauseating acts; commits vile activities; demonstrates sickening behavior; participates in offensive actions; shows disturbing tendencies; involves oneself in loathsome deeds
character perception,person perception ,pro,involves being honest; involves being trustworthy; involves being respectful; involves being sincere; involves being loyal; involves being responsible; involves being fair; involves being caring; involves being courageous; involves being helpful
character perception,person perception ,con,involves being dishonest; involves being untrustworthy; involves being disrespectful; involves being insincere; involves being disloyal; involves being irresponsible; involves being unfair; involves being uncaring; involves being cowardly; involves being unhelpful.
personality perception,person perception ,pro,involves being open-minded; involves being sociable; involves being kind; involves being optimistic; involves being honest; involves being forgiving; involves being caring; involves being compassionate; involves being trustworthy; involves being playful
personality perception,person perception ,con,involves being close-minded; involves being antisocial; involves being unkind; involves being pessimistic; involves being dishonest; involves being unforgiving; involves being uncaring; involves being indifferent; involves being untrustworthy; involves being serious.
ability perception,person perception ,pro,involves being knowledgeable; involves being creative; involves being competent; involves being hard-working; involves being intelligent; involves being productive; involves being clever; involves being organized; involves being innovative; involves being logical
ability perception,person perception ,con,involves being ignorant; involves being uncreative; involves being incompetent; involves being lazy; involves being unintelligent; involves being unproductive; involves being dull; involves being disorganized; involves being unoriginal; involves being illogical.
goodness perception,person perception ,pro,involves being trustworthy; involves being honest; involves being kind; involves being compassionate; involves being respectful; involves being selfless; involves being forgiving; involves being caring; involves being helpful; involves being sincere
goodness perception,person perception ,con,involves being untrustworthy; involves being dishonest; involves being unkind; involves being indifferent; involves being disrespectful; involves being selfish; involves being unforgiving; involves being uncaring; involves being unhelpful; involves being insincere.
morality perception,person perception ,pro,involves being honest; involves being trustworthy; involves being respectful; involves being just; involves being forgiving; involves being fair; involves being principled; involves being unprejudiced; involves being caring; involves being selfless
morality perception,person perception ,con,involves being dishonest; involves being untrustworthy; involves being disrespectful; involves being unjust; involves being unforgiving; involves being unfair; involves being unprincipled; involves being prejudiced; involves being uncaring; involves being selfish.
strength perception,person perception ,pro,involves being strong-willed; involves being determined; involves being disciplined; involves being persistent; involves being brave; involves being committed; involves being motivated; involves being confident; involves being assertive; involves being yielding
strength perception,person perception ,con,involves being weak-willed; involves being indecisive; involves being undisciplined; involves being fickle; involves being timid; involves being uncommitted; involves being unmotivated; involves being insecure; involves being passive; involves being stubborn.
grit perception,person perception ,pro,involves being determined; involves being strong-willed; involves being courageous; involves being tough; involves being motivated; involves being persistent; involves being brave; involves being dedicated; involves being hard-working; involves being committed
grit perception,person perception ,con,involves being indecisive; involves being weak-willed; involves being fearful; involves being fragile; involves being unmotivated; involves being inconsistent; involves being timid; involves being apathetic; involves being lazy; involves being uncommitted.
agency perception,person perception ,pro,involves being strong-willed; involves being determined; involves being motivated; involves being dedicated; involves being hard-working; involves being persistent; involves being assertive; involves being confident; involves being competent; involves being committed
agency perception,person perception ,con,involves being weak-willed; involves being indecisive; involves being unmotivated; involves being uncommitted; involves being lazy; involves being inconsistent; involves being passive; involves being insecure; involves being incompetent; involves being wavering.
